John,Fvbbug,361 Beacon St.,,Yawdtcpfxi,NM,45683,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MN,88801,US,home,11,60,327,8919140,work,11,54,826,5729475,378432000000
John,Sfrrgq,422 Beacon St.,,Uqyurbb,MD,44056,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,NV,99756,US,home,11,86,470,4340746,work,11,34,967,9371873,599184000000
John,Asiql,88 Beacon St.,,Ifeq,MI,77408,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,ID,25762,US,home,11,76,392,1243138,work,11,63,368,6441852,599184000000
John,Uwoyizb,794 Beacon St.,,Rqfm,WY,03893,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,IA,14411,US,home,11,89,610,5396255,work,11,28,872,7405952,63072000000
John,Szknqlpcn,385 Beacon St.,,Xlaru,IL,32591,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,CT,26687,US,home,11,16,370,1409119,work,11,10,812,1904448,315360000000
John,Viugbcckr,745 Beacon St.,,Whkvdrhn,IA,87594,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,PA,37768,US,home,11,81,867,9620245,work,11,58,547,7973746,-31536000000
John,Ivjchyqxx,472 Beacon St.,,Dsjobnwelo,DE,04343,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,IL,60129,US,home,11,53,706,1165222,work,11,11,800,9956180,126144000000
John,Imrryqdpi,462 Beacon St.,,Pqhcuutyo,NC,14327,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,RI,47286,US,home,11,40,533,983305,work,11,68,482,9670413,-31536000000
John,Okpvall,997 Beacon St.,,Vpywemjspq,MS,95584,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,FL,86787,US,home,11,28,580,6733755,work,11,46,51,255184,220752000000
John,Yklqx,108 Beacon St.,,Onpclj,CA,00099,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,FM,31472,US,home,11,80,494,4658212,work,11,66,526,2293875,-283824000000
John,Rebqnv,76 Beacon St.,,Kiiele,PA,91169,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,ID,08575,US,home,11,37,372,7588896,work,11,55,383,4056383,-94608000000
John,Cjieh,250 Beacon St.,,Lztchz,OF,45288,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,VT,35618,US,home,11,85,230,3778762,work,11,74,252,659545,315360000000
John,Fpkegyx,551 Beacon St.,,Yltmfsiny,OH,68419,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,ND,20401,US,home,11,79,818,6963069,work,11,97,536,8527400,346896000000
John,Ekbvcutsk,26 Beacon St.,,Zhrmnmtth,MT,23922,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,HI,01278,US,home,11,15,953,6227873,work,11,8,813,3337829,-409968000000
John,Onbz,300 Beacon St.,,Cswkvqrk,FL,34479,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,CO,15441,US,home,11,14,343,955206,work,11,79,836,4532325,-630720000000
John,Hjrycnxzjd,343 Beacon St.,,Uyybmed,AZ,71264,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MH,71633,US,home,11,28,516,7340735,work,11,50,517,3646373,-504576000000
John,Tkxfemjd,980 Beacon St.,,Qppr,ME,07184,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MT,48757,US,home,11,88,908,74981,work,11,93,90,8207356,283824000000
John,Enezvwc,680 Beacon St.,,Gntbgwyaku,IN,75149,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,KS,88011,US,home,11,82,995,1408795,work,11,36,268,8169651,-473040000000
John,Pojbtdnr,300 Beacon St.,,Mzpnp,PA,61575,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,FM,82744,US,home,11,61,251,5800923,work,11,61,888,1951705,-94608000000
John,Qtyiggt,917 Beacon St.,,Xohq,AK,95575,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,TN,07256,US,home,11,5,568,6707762,work,11,89,291,9144349,-31536000000
John,Dkwcsttech,751 Beacon St.,,Ayjzblglku,TX,28345,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,AZ,96241,US,home,11,12,193,4930690,work,11,85,987,2542543,409968000000
